"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"04/11/2024","62,40","62,67","1,03","62,12","62,87","691,19M"
"01/11/2024","62,14","62,03","-0,05","61,79","62,44","944,21M"
"31/10/2024","62,34","62,06","-0,66","61,80","62,59","1,03B"
"30/10/2024","62,50","62,47","-0,30","62,12","62,69","764,83M"
"29/10/2024","63,25","62,66","-0,35","62,65","63,44","937,78M"
"28/10/2024","62,50","62,88","1,86","62,19","62,88","1,04B"
"25/10/2024","60,57","61,73","3,40","60,52","62,47","2,36B"
"24/10/2024","59,34","59,70","0,59","59,21","59,70","673,03M"
"23/10/2024","59,89","59,35","-1,75","59,15","59,90","1,08B"
"22/10/2024","60,15","60,41","0,13","59,90","60,66","890,44M"
"21/10/2024","61,35","60,33","-0,36","60,27","61,38","1,15B"
"18/10/2024","61,02","60,55","-0,35","60,46","61,47","2,38B"
"17/10/2024","61,93","60,76","-2,53","60,64","61,32","2,96B"
"16/10/2024","61,93","62,34","1,91","61,58","62,38","1,84B"
"15/10/2024","61,10","61,17","-1,23","60,57","61,20","1,56B"
"14/10/2024","62,32","61,93","-0,32","61,33","62,52","2,78B"
"11/10/2024","60,99","62,13","1,44","60,98","62,27","1,29B"
"10/10/2024","61,45","61,25","0,48","60,75","61,45","1,05B"
"09/10/2024","60,67","60,96","-0,26","60,25","61,06","1,38B"
"08/10/2024","62,90","61,12","-3,03","60,60","61,12","3,57B"
"07/10/2024","62,90","63,03","0,88","62,44","63,74","1,42B"
"04/10/2024","63,63","62,48","-0,73","62,30","63,01","2,61B"
"03/10/2024","63,63","62,94","-1,92","62,43","63,80","1,67B"
"02/10/2024","64,42","64,17","0,55","63,97","65,35","1,31B"
"01/10/2024","63,50","63,82","0,49","63,15","64,25","1,15B"
"30/09/2024","65,32","63,51","-0,70","63,51","65,32","1,86B"
"27/09/2024","64,70","63,96","-0,45","63,17","65,03","6,14B"
"26/09/2024","62,60","64,25","6,01","62,45","64,38","3,90B"
"25/09/2024","60,72","60,61","0,45","60,42","61,25","1,31B"
"24/09/2024","60,21","60,34","4,88","59,64","60,74","2,71B"
"23/09/2024","57,09","57,53","0,31","56,60","57,86","1,04B"
"20/09/2024","57,71","57,35","-1,51","56,95","58,16","1,76B"
"19/09/2024","58,57","58,23","1,20","58,17","58,85","1,12B"
"18/09/2024","57,59","57,54","-1,17","57,45","58,17","828,57M"
"17/09/2024","58,37","58,22","-0,48","57,90","58,55","699,25M"
"16/09/2024","58,43","58,50","0,00","58,08","58,55","611,38M"
"13/09/2024","58,10","58,50","0,67","58,03","59,00","880,93M"
"12/09/2024","58,10","58,11","0,90","57,96","58,54","1,04B"
"11/09/2024","56,74","57,59","2,84","56,71","57,65","1,46B"
"10/09/2024","56,84","56,00","-1,20","55,93","56,90","983,98M"
"09/09/2024","57,11","56,68","-0,14","56,67","57,34","575,37M"
"06/09/2024","56,89","56,76","-1,12","56,59","57,52","1,87B"
"05/09/2024","56,89","57,40","0,72","56,73","57,64","949,41M"
"04/09/2024","56,70","56,99","0,78","56,47","57,44","1,11B"
"03/09/2024","58,82","56,55","-3,73","56,47","57,95","2,27B"
"02/09/2024","58,82","58,74","-1,41","58,42","58,88","643,81M"
"30/08/2024","59,41","59,58","0,47","59,08","59,72","1,91B"
"29/08/2024","59,41","59,30","-0,12","59,10","59,97","1,14B"
"28/08/2024","59,37","59,37","-0,72","58,68","59,50","1,26B"
"27/08/2024","59,70","59,80","3,01","59,09","60,14","2,87B"
"26/08/2024","58,50","58,05","1,13","58,05","58,55","997,45M"
"23/08/2024","58,26","57,40","-1,68","57,25","58,38","1,39B"
"22/08/2024","58,24","58,38","0,14","57,85","58,38","1,03B"
"21/08/2024","58,25","58,30","1,92","58,10","58,56","1,34B"
"20/08/2024","57,38","57,20","0,39","56,81","57,59","1,11B"
"19/08/2024","56,52","56,98","1,60","56,36","57,52","1,61B"
"16/08/2024","55,95","56,08","-0,27","55,53","56,09","2,47B"
"15/08/2024","55,90","56,23","0,41","55,69","56,36","1,57B"
"14/08/2024","55,96","56,00","-0,92","55,48","56,09","2,88B"
"13/08/2024","56,99","56,52","-0,44","56,52","56,99","2,51B"
"12/08/2024","57,10","56,77","-0,51","56,52","57,11","1,03B"
"09/08/2024","57,12","57,06","0,37","56,50","57,16","1,25B"
"08/08/2024","57,03","56,85","-0,61","56,82","57,50","828,69M"
"07/08/2024","57,31","57,20","-0,19","57,02","57,59","1,10B"
"06/08/2024","56,74","57,31","0,51","56,30","57,52","1,36B"
"05/08/2024","56,31","57,02","-1,06","55,90","57,39","1,40B"
"02/08/2024","58,82","57,63","-1,39","57,58","59,03","2,04B"
"01/08/2024","60,00","58,44","-2,24","58,42","60,02","2,37B"
"31/07/2024","59,09","59,78","2,34","58,94","59,83","2,04B"
"30/07/2024","59,20","58,42","-2,21","58,40","59,28","1,67B"
"29/07/2024","59,84","59,74","0,18","59,32","59,95","1,67B"
"26/07/2024","59,61","59,63","1,49","59,18","59,89","5,38B"
