"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"29/11/2024","37,03","37,41","0,80","37,24","37,72","2,67B"
"28/11/2024","37,33","37,12","-1,03","36,91","37,79","2,22B"
"27/11/2024","37,70","37,50","-0,36","37,35","37,86","2,39B"
"26/11/2024","37,88","37,64","-0,13","37,57","38,00","2,79B"
"25/11/2024","n/d","37,68","-0,61","37,66","38,34","1,39B"
"22/11/2024","36,52","37,91","3,98","37,00","38,31","4,42B"
"21/11/2024","36,65","36,46","0,29","36,12","36,67","2,18B"
"19/11/2024","35,78","36,36","-1,05","36,21","36,84","2,29B"
"18/11/2024","35,78","36,74","2,50","35,78","36,84","1,32B"
"14/11/2024","35,54","35,85","1,06","35,45","35,90","2,12B"
"13/11/2024","34,97","35,47","-0,14","35,14","35,65","2,51B"
"12/11/2024","34,62","35,52","1,88","34,95","35,69","2,04B"
"11/11/2024","34,62","34,87","0,19","34,53","35,03","697,24M"
"08/11/2024","34,13","34,80","1,89","34,18","34,93","2,80B"
"07/11/2024","33,71","34,15","0,31","33,92","34,52","2,04B"
"06/11/2024","34,14","34,05","0,03","33,70","34,11","1,74B"
"05/11/2024","34,53","34,04","-0,31","33,69","34,24","1,56B"
"04/11/2024","34,53","34,14","0,23","34,03","34,58","754,55M"
"01/11/2024","34,82","34,07","-1,36","33,95","34,98","1,04B"
"31/10/2024","34,50","34,54","0,17","34,27","34,67","878,84M"
"30/10/2024","34,74","34,48","-0,44","34,48","34,98","900,63M"
"29/10/2024","34,94","34,63","-0,22","34,43","35,03","899,37M"
"28/10/2024","34,13","34,71","-0,17","33,99","34,75","945,14M"
"25/10/2024","34,59","34,77","0,70","34,48","35,10","1,12B"
"24/10/2024","34,48","34,53","0,67","34,20","34,65","792,01M"
"23/10/2024","34,54","34,30","-1,25","34,21","34,57","1,05B"
"22/10/2024","34,82","34,73","-0,39","34,62","34,91","1,01B"
"21/10/2024","35,59","34,87","-1,57","34,82","35,64","987,06M"
"18/10/2024","35,57","35,42","-0,27","35,02","35,65","1,12B"
"17/10/2024","35,79","35,52","-0,75","35,29","35,79","780,46M"
"16/10/2024","36,12","35,79","-0,51","35,77","36,14","822,64M"
"15/10/2024","35,79","35,97","-0,82","35,64","35,98","1,01B"
"14/10/2024","36,04","36,27","0,24","35,92","36,45","793,15M"
"11/10/2024","36,16","36,18","-0,08","35,89","36,21","588,52M"
"10/10/2024","35,97","36,21","1,16","35,89","36,30","741,50M"
"09/10/2024","35,94","35,80","-1,01","35,60","36,09","1,10B"
"08/10/2024","36,36","36,16","-2,01","35,89","36,42","1,23B"
"07/10/2024","36,59","36,90","1,40","36,45","36,91","1,33B"
