"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"06/12/2024","57,46","56,81","-1,71","56,75","57,66","1,74B"
"05/12/2024","58,40","57,80","0,82","56,87","57,80","2,18B"
"04/12/2024","59,30","57,33","-1,95","56,96","58,48","2,07B"
"03/12/2024","58,85","58,47","-0,76","58,47","59,36","1,94B"
"02/12/2024","58,85","58,92","-0,20","58,69","59,38","1,01B"
"29/11/2024","58,25","59,04","2,62","58,61","59,21","2,83B"
"28/11/2024","57,90","57,53","-1,03","57,27","58,68","2,30B"
"27/11/2024","57,87","58,13","1,22","57,60","58,42","2,44B"
"26/11/2024","58,18","57,43","-1,27","57,15","58,49","2,16B"
"25/11/2024","n/d","58,17","-0,02","58,13","58,56","716,68M"
"22/11/2024","57,50","58,18","0,97","57,25","58,27","1,55B"
"21/11/2024","57,80","57,62","-0,10","57,21","57,80","1,54B"
"19/11/2024","57,09","57,68","0,23","57,46","57,98","1,56B"
"18/11/2024","57,09","57,55","1,25","56,97","57,78","736,80M"
"14/11/2024","57,32","56,84","-0,56","56,84","57,34","2,00B"
"13/11/2024","58,58","57,16","-0,28","57,11","57,72","2,59B"
"12/11/2024","59,75","57,32","-2,27","57,20","58,58","2,90B"
"11/11/2024","59,75","58,65","-3,27","58,65","59,87","1,32B"
"08/11/2024","62,02","60,63","-4,61","59,70","62,05","5,09B"
"07/11/2024","61,30","63,56","3,48","62,00","63,99","3,47B"
"06/11/2024","62,95","61,42","-1,13","60,75","61,63","2,15B"
"05/11/2024","62,40","62,12","-0,88","61,96","63,10","1,71B"
"04/11/2024","62,40","62,67","1,03","62,12","62,87","691,19M"
"01/11/2024","62,14","62,03","-0,05","61,79","62,44","944,21M"
"31/10/2024","62,34","62,06","-0,66","61,80","62,59","1,03B"
"30/10/2024","62,50","62,47","-0,30","62,12","62,69","764,83M"
"29/10/2024","63,25","62,66","-0,35","62,65","63,44","937,78M"
"28/10/2024","62,50","62,88","1,86","62,19","62,88","1,04B"
"25/10/2024","60,57","61,73","3,40","60,52","62,47","2,36B"
"24/10/2024","59,34","59,70","0,59","59,21","59,70","673,03M"
"23/10/2024","59,89","59,35","-1,75","59,15","59,90","1,08B"
"22/10/2024","60,15","60,41","0,13","59,90","60,66","890,44M"
"21/10/2024","61,35","60,33","-0,36","60,27","61,38","1,15B"
"18/10/2024","61,02","60,55","-0,35","60,46","61,47","2,38B"
"17/10/2024","61,93","60,76","-2,53","60,64","61,32","2,96B"
"16/10/2024","61,93","62,34","1,91","61,58","62,38","1,84B"
"15/10/2024","61,10","61,17","-1,23","60,57","61,20","1,56B"
"14/10/2024","62,32","61,93","-0,32","61,33","62,52","2,78B"
"11/10/2024","60,99","62,13","1,44","60,98","62,27","1,29B"
"10/10/2024","61,45","61,25","0,48","60,75","61,45","1,05B"
"09/10/2024","60,67","60,96","-0,26","60,25","61,06","1,38B"
